,eloss,signals,errors
0,258.850220597,182.25,13.246233421
1,259.854505647,178.666666667,13.1126818139
2,260.859005547,183.5,13.2527326576
3,261.863720367,179.0,13.1329798109
4,262.851017967,185.083333333,13.3072872456
5,263.856159047,184.25,13.28444096
6,264.861515257,182.75,13.2391950956
7,265.867086647,179.75,13.1202089983
8,266.855226047,177.25,13.0082107882
9,267.861224237,178.833333333,13.1682320831
10,268.867437807,177.25,13.0256534909
11,269.856208317,180.666666667,13.1262548736
12,270.862849087,180.833333333,13.1359543706
13,271.852039427,180.0,13.1490070995
14,272.859107647,182.333333333,13.2564571317
15,273.866391587,184.583333333,13.3051908644
16,274.856214017,178.75,13.0745792911
17,275.863925817,176.5,13.0262708622
18,276.854168727,181.75,13.2068025749
19,277.862308647,174.416666667,12.9439373139
20,277.950752277,182.0,13.2229921785
21,278.056886827,171.5,12.8123546831
22,278.163023777,178.25,13.0867430194
23,278.251473057,178.833333333,13.1235081613
24,278.357614397,178.083333333,13.0527282207
25,278.463758127,171.666666667,12.860528221
26,278.552213067,175.916666667,12.9958948903
27,278.658361187,164.333333333,12.5403866732
28,278.764511697,164.916666667,12.5862742481
29,278.852972297,168.083333651,12.5960569188
30,278.959127197,176.666666667,12.9898276301
31,279.065284497,182.0,13.3004416506
32,279.153750747,179.0,13.1499922687
33,279.259912437,189.916666667,13.434756481
34,279.366076527,188.833333333,13.4896106006
35,279.454548427,179.166666667,13.0402978686
36,279.560716897,180.083333333,13.1771861304
37,279.666887777,172.083333333,12.8491941295
38,279.755365327,179.916666667,13.1349580835
39,279.861540597,180.166666667,13.1804052316
40,279.967718247,175.583333333,12.967748206
41,280.056201467,175.833333333,12.9969504871
42,280.162383517,183.166666667,13.2345430967
43,280.250870387,179.416666667,13.1783304718
44,280.357056827,181.083333333,13.1849052099
45,280.463245667,177.833333333,13.0457609877
46,280.551738197,171.333333333,12.8212977448
47,280.657931427,175.0,12.9794731134
48,280.764127057,178.666666667,13.0576691485
49,280.852625247,180.5,13.1297490201
50,280.958825267,182.833333333,13.2307123916
51,281.065027677,177.75,13.0153296058
52,281.153531527,180.666666667,13.1617569822
53,281.259738337,175.5,12.9590308526
54,281.365947537,185.75,13.3530814571
55,281.454457047,177.25,13.0806280517
56,281.560670647,183.25,13.2319124903
57,281.666886637,177.916666667,13.0660670028
58,281.755401797,179.416666667,13.1243011355
59,281.861622197,179.75,13.1129483097
60,281.950141017,179.5,13.1349573281
61,282.056365797,172.25,12.8746848732
62,282.162592987,174.5,12.9767760342
63,282.251117467,180.166666667,13.1133496849
64,282.357349047,180.666666667,13.1568624881
65,282.463583017,177.083333333,13.0238340146
66,282.552113167,182.916666667,13.2408061761
67,282.658351527,180.25,13.1031347741
68,282.764592297,175.0,13.0093102388
69,282.853128107,184.75,13.330505794
70,282.959373267,190.25,13.5113860824
71,283.065620827,182.583333333,13.2391391112
72,283.154162297,176.75,13.0340089771
73,283.260414247,186.5,13.3782082024
74,283.366668607,186.0,13.3225124891
75,283.455215727,191.0,13.5413413922
76,283.561474487,197.916666667,13.7500798895
77,283.667735637,195.0,13.7320505281
78,283.756288417,206.0,14.0187418533
79,283.862553967,225.416666667,14.6548115887
80,283.951110427,234.5,14.9842709716
81,284.057380367,258.0,15.6487043933
82,284.163652707,283.416661582,16.3588927128
83,284.252214827,331.083325706,17.6252382728
84,284.358491567,366.416659039,18.2990170276
85,284.464770707,447.249993644,20.183228411
86,284.553338487,500.833328249,21.3097293117
87,284.659622017,587.583332064,22.9927585624
88,284.765907957,672.583332064,24.670903757
89,284.854481397,759.166666669,26.2833354457
90,284.960771737,834.250000002,27.6305455959
91,285.067064467,905.250000002,28.9015860406
92,285.155643577,970.749989829,29.8971980289
93,285.261940707,1025.74998474,30.7467147069
94,285.350523487,1030.91665141,30.7329355339
95,285.456825017,1020.24998474,30.408245436
96,285.563128947,1002.24998474,29.8491281185
97,285.651717387,952.083318076,28.8827659903
98,285.758025717,890.166650138,27.9752223861
99,285.864336447,834.833314261,26.9781762888
100,285.952930557,767.583314261,26.0764354342
101,286.059245687,713.666647594,25.1176858424
102,286.165563217,653.416647594,24.2511104428
103,286.254162987,619.833314261,23.6678996367
